,languages
0,React
1,Vue
2,Angular
3,Node
4,SQL
5,Python
6,JavaScript
7,C++
8,TypeScript
9,C
10,Go
11,C#
12,Shell
13,Java
14,Rust
15,HTML
16,PHP
17,Ruby
18,Lua
19,Kotlin
20,Jupyter Notebook
21,CSS
22,Swift
23,Emacs Lisp
24,Vim Script
25,Dart
26,PowerShell
27,SCSS
28,Haskell
29,Solidity
30,Vue
31,Scala
32,Perl
33,R
34,Makefile
35,Clojure
36,Objective-C
37,Dockerfile
38,Batchfile
39,TeX
40,Nix
41,GDScript
42,Svelte
43,Common Lisp
44,Assembly
45,Elixir
46,OpenSCAD
47,Nim
48,Julia
49,HCL
50,Vala
51,AutoHotkey
52,Markdown
53,Jinja
54,OCaml
55,Wikitext
56,Zig
57,F#
58,CMake
59,Pascal
60,QML
61,Scheme
62,Visual Basic .NET
63,HLSL
64,Logos
65,Crystal
66,ASL
67,Ren'Py
68,Roff
69,GLSL
70,Verilog
71,AutoIt
72,D
73,Ada
74,VHDL
75,GAP
76,Haxe
77,Mustache
78,Elm
79,Groovy
80,Erlang
81,Raku
82,CoffeeScript
83,Nunjucks
84,Objective-C++
85,Handlebars
86,PLpgSQL
87,ShaderLab
88,Racket
89,MATLAB
90,Rich Text Format
91,Smarty
92,AsciiDoc
93,Puppet
94,VBA
95,Fennel
96,G-code
97,Mathematica
98,VimL
99,ReScript
100,Starlark
101,Prolog
102,DM
103,TSQL
104,WebAssembly
